step_num,elapsed_seconds,loss
0,4.191,109.20823669433594
1,8.969002,11.680204391479492
2,14.486004,6.655635833740234
3,20.648005,4.936942100524902
4,27.450005,4.176020622253418
5,34.52201,3.737624406814575
6,41.814002,3.463498592376709
7,49.192003,3.246966600418091
8,56.963007,3.0814971923828125
9,64.404607,2.95979905128479
10,71.881603,2.863975763320923
11,79.304604,2.7872402667999268
12,86.976607,2.718829393386841
13,94.560613,2.6650030612945557
14,102.083608,2.6190249919891357
15,109.57761,2.5802364349365234
16,117.106611,2.548203706741333
17,124.583606,2.520439386367798
18,132.230154,2.49775767326355
19,140.001156,2.4773943424224854
20,147.585154,2.4609522819519043
21,154.901158,2.4469680786132812
22,162.145158,2.4346580505371094
23,169.430159,2.4246227741241455
24,176.643155,2.4163825511932373
25,183.895157,2.4088189601898193
26,191.174155,2.4017815589904785
27,198.447153,2.3956711292266846
28,205.675153,2.3902435302734375
29,212.96116,2.3859381675720215
30,220.108157,2.3816733360290527
31,227.203157,2.3780856132507324
32,234.565162,2.374143123626709
33,241.832191,2.3708555698394775
34,248.997155,2.3678410053253174
35,256.188158,2.365074872970581
36,263.639159,2.362800359725952
37,270.807761,2.3604817390441895
38,278.420295,2.358487606048584
39,285.742291,2.356248378753662
40,292.976286,2.3545494079589844
41,300.429807,2.3526957035064697
42,307.734806,2.351079225540161
43,315.059316,2.3494324684143066
44,322.315317,2.3480212688446045
45,329.606322,2.3465447425842285
46,336.904833,2.3454079627990723
47,344.236834,2.3438143730163574
48,351.570834,2.342988967895508
49,358.850834,2.341458559036255
50,366.175834,2.3400864601135254
51,373.475837,2.3394391536712646
52,381.391833,2.3380210399627686
53,388.974834,2.337521553039551
54,396.430832,2.336343765258789
55,403.861831,2.3358676433563232
56,411.416832,2.3347859382629395
57,418.719833,2.3340907096862793
58,426.059834,2.3337137699127197
59,433.389831,2.332346200942993
60,440.664836,2.3325445652008057
61,448.146835,2.3315372467041016
62,455.367832,2.3299200534820557
63,462.621832,2.32987904548645
64,469.786827,2.3296375274658203
65,477.027837,2.329202175140381
66,484.395833,2.328927755355835
67,491.590772,2.3278632164001465
68,498.847773,2.327711582183838
69,506.076772,2.327613592147827
70,513.318288,2.3276467323303223
71,520.464286,2.327523946762085
72,527.51229,2.327552318572998
73,534.803837,2.3275930881500244
74,541.992831,2.32854962348938
75,549.18483,2.327493667602539
76,556.389832,2.3273673057556152
77,563.543833,2.327765464782715
78,570.640831,2.3287253379821777
79,577.858831,2.328629970550537
80,585.022833,2.366021156311035
81,592.268833,2.3456826210021973
82,599.403832,2.3380045890808105
83,606.401832,2.333329200744629
84,613.47483,2.3308982849121094
85,620.619837,2.3307132720947266
86,627.698832,2.33054256439209
87,634.980837,2.330113172531128
88,642.048832,2.330178737640381
89,649.206836,2.331362724304199
90,656.341832,2.3324813842773438
91,663.532833,2.3321335315704346
92,670.619832,2.332749843597412
93,677.833834,2.3332366943359375
94,685.027829,2.3357903957366943
95,692.169834,2.337869167327881
96,699.373834,2.3398849964141846
97,707.151432,2.3390777111053467
98,714.470421,2.3393146991729736
99,721.869422,2.3401741981506348
100,729.336423,2.3384969234466553
101,736.650966,2.338357925415039
102,743.872966,2.3393898010253906
103,750.944965,2.345283269882202
104,758.130509,2.344139337539673
105,765.526502,2.3438053131103516
106,772.780069,2.347822427749634
107,780.554063,2.3439018726348877
108,787.907063,2.3420000076293945
109,794.999068,2.3426549434661865
110,802.338067,2.343066930770874
111,809.562067,2.3412041664123535
112,818.182067,2.3414578437805176
113,827.73007,2.341322898864746
114,836.793012,2.343193531036377
115,845.552008,2.3425073623657227
116,854.302009,2.344893217086792
117,863.08801,28564300.0
118,870.901009,27564728.0
119,879.13401,23353884.0
120,888.240015,11357623.0
121,896.641552,3014470.5
122,904.342555,432.62396240234375
123,912.367554,191.63243103027344
124,920.800551,136.7936553955078
125,929.23355,112.63108825683594
126,937.23951,99.29707336425781
127,945.2715,75.16381072998047
128,953.1025,51.70528030395508
129,960.585018,37.71363067626953
130,968.78402,26.100080490112305
131,976.755016,18.810619354248047
132,984.332019,14.817116737365723
133,991.632017,12.054128646850586
134,999.044018,10.1082181930542
135,1006.303019,8.549538612365723
136,1013.770018,7.393315315246582
137,1021.408614,6.496834754943848
138,1028.660614,5.777304649353027
139,1036.190614,5.209347724914551
140,1043.702612,4.768517971038818
141,1051.211615,4.441345691680908
142,1058.846613,4.162344455718994
143,1066.135162,3.928994655609131
144,1073.582159,3.736696720123291
145,1081.133757,3.5932223796844482
146,1088.657844,3.4645464420318604
147,1096.396844,3.349738121032715
148,1103.701362,3.26090407371521
149,1111.246362,3.1864192485809326
150,1118.716365,3.1190342903137207
151,1126.108563,3.0583701133728027
152,1133.486569,3.0063698291778564
153,1140.951563,2.959014892578125
154,1148.362076,2.9142537117004395
155,1155.80688,2.874694347381592
156,1163.680881,2.838000774383545
157,1171.08488,2.8039944171905518
158,1178.407227,2.7722649574279785
159,1185.753228,2.743809223175049
160,1192.986583,2.7180674076080322
161,1200.120584,2.6933250427246094
162,1207.332101,2.6698317527770996
163,1214.5271,2.6493172645568848
164,1221.661096,2.627772808074951
165,1229.036732,2.6105597019195557
166,1236.560707,2.592170000076294
167,1244.683715,2.574903964996338
168,1252.259748,2.559624433517456
169,1259.660738,2.5441906452178955
170,1266.944741,2.530574083328247
171,1274.160713,2.5185317993164062
172,1281.752737,2.506098508834839
173,1289.123306,2.4955034255981445
174,1296.867308,2.4843268394470215
175,1304.347338,2.474499225616455
176,1312.050337,2.465299367904663
177,1319.709326,2.4569578170776367
178,1327.107807,2.448489189147949
179,1335.167807,2.4408886432647705
180,1342.813815,2.434051275253296
181,1350.760804,2.4278600215911865
182,1358.718819,2.4227676391601562
183,1367.05481,2.4176156520843506
184,1374.57981,2.412639617919922
185,1382.215806,2.407644510269165
186,1389.841564,2.4026546478271484
187,1397.06153,2.3986690044403076
188,1404.618564,2.394552230834961
189,1412.451108,2.3910348415374756
190,1420.268082,2.387381076812744
191,1428.015071,2.384312629699707
192,1435.440672,2.3807289600372314
193,1443.078673,2.3775384426116943
194,1450.998707,2.3756487369537354
195,1459.231272,2.372681140899658
196,1466.953353,2.3702197074890137
197,1474.624306,2.368530035018921
198,1481.73929,2.3660261631011963
199,1489.680292,2.36383318901062
200,1497.815813,2.361729621887207
201,1505.919849,2.359574556350708
202,1513.887815,2.3577213287353516
203,1521.484842,2.3559584617614746
204,1528.804844,2.354326009750366
205,1536.394848,2.352565288543701
206,1543.739439,2.351016044616699
207,1550.887436,2.3493497371673584
208,1558.32544,2.3480875492095947
209,1565.510434,2.3471033573150635
210,1572.579437,2.345848798751831
211,1579.71644,2.3448657989501953
