step_num,elapsed_seconds,loss
0,0.210998,5757926.0
1,0.461999,5597015.0
2,0.725999,5444124.5
3,0.976997,5298181.5
4,1.225995,5158489.0
5,1.480999,5024595.5
6,1.736998,4896033.0
7,1.980997,4772461.5
8,2.222998,4653622.0
9,2.519998,4539237.0
10,2.791999,4429105.0
11,3.050002,4323006.0
12,3.310998,4220742.0
13,3.570002,4122177.75
14,3.824003,4027078.75
15,4.070003,3935298.25
16,4.326001,3846694.0
17,4.592001,3761116.75
18,4.848524,3678441.5
19,5.101526,3598550.0
20,5.371528,3521312.5
21,5.646524,3446616.25
22,5.905523,3374361.25
23,6.170523,3304448.75
24,6.426527,3236779.75
25,6.759526,3171267.25
26,7.028523,3107813.25
27,7.298523,3046339.5
28,7.558523,2986771.75
29,7.817527,2929033.5
30,8.072523,2873067.0
31,8.322527,2818790.0
32,8.566523,2766136.5
33,8.820523,2715043.25
34,9.075524,2665456.75
35,9.335525,2617322.25
36,9.577527,2570568.25
37,9.844524,2525153.25
38,10.117556,2481015.5
39,10.388523,2438111.25
40,10.647523,2396393.5
41,10.904522,2355819.25
42,11.158523,2316345.5
43,11.410522,2277935.75
44,11.659524,2240555.25
45,11.922524,2204163.5
46,12.180525,2168722.5
47,12.430524,2134200.25
48,12.678522,2100568.75
49,12.937523,2067794.75
50,13.195523,2035853.125
51,13.448522,2004710.625
52,13.694524,1974337.5
53,13.963521,1944705.0
54,14.221524,1915787.125
55,14.469523,1887565.25
56,14.713532,1860015.75
57,14.976524,1833121.25
58,15.241523,1806857.0
59,15.502523,1781204.375
60,15.760523,1756143.875
61,16.017525,1731655.75
62,16.275523,1707721.5
63,16.531525,1684322.75
64,16.780522,1661440.375
65,17.043522,1639060.125
66,17.302522,1617166.5
67,17.555522,1595739.125
68,17.803524,1574767.75
69,18.067524,1554243.625
70,18.322524,1534151.5
71,18.575523,1514476.625
72,18.823527,1495208.625
73,19.083527,1476338.625
74,19.341523,1457855.0
75,19.593522,1439742.125
76,19.848523,1421992.75
77,20.119523,1404592.75
78,20.376522,1387536.625
79,20.620524,1370811.25
80,20.939521,1354412.25
81,21.200561,1338324.625
82,21.450521,1322543.875
83,21.696523,1307063.625
84,21.957522,1291873.0
85,22.214523,1276963.5
86,22.466523,1262330.5
87,22.713521,1247969.125
88,22.976526,1233869.625
89,23.235523,1220023.125
90,23.484524,1206424.625
91,23.732525,1193067.625
92,23.992523,1179945.75
93,24.256521,1167054.75
94,24.506524,1154388.5
95,24.751524,1141941.0
96,25.050523,1129707.25
97,25.349522,1117681.5
98,25.623523,1105859.875
99,25.886527,1094237.125
100,26.143522,1082807.75
101,26.396524,1071567.25
102,26.663525,1060511.75
103,26.926524,1049636.25
104,27.173522,1038939.5625
105,27.421523,1028414.375
106,27.701526,1018056.9375
107,27.960523,1007864.375
108,28.205523,997833.375
109,28.543529,987960.3125
110,28.818524,978241.5625
111,29.084522,968674.6875
112,29.345521,959254.6875
113,29.59753,949979.1875
114,29.845529,940845.375
115,30.166523,931849.1875
116,30.444522,922987.625
117,30.708522,914260.3125
118,30.967523,905662.75
119,31.219524,897192.0625
120,31.469524,888845.75
121,31.716523,880622.625
122,31.971556,872518.8125
123,32.229528,864531.9375
124,32.489524,856659.5625
125,32.744523,848899.75
126,33.009521,841248.875
127,33.269525,833705.75
128,33.521559,826269.1875
129,33.777525,818935.6875
130,34.053522,811704.5
131,34.313522,804573.9375
132,34.569538,797539.875
133,34.834524,790601.5625
134,35.101525,783758.1875
135,35.366524,777008.25
136,35.621523,770349.0625
137,35.876525,763778.8125
138,36.190522,757296.375
139,36.486523,750900.0625
140,36.757527,744587.5625
141,37.017528,738357.75
142,37.322524,732208.375
143,37.579523,726139.125
144,37.834523,720149.125
145,38.080522,714235.375
146,38.346522,708396.75
147,38.620521,702631.8125
148,38.883525,696940.25
149,39.146526,691320.8125
150,39.404523,685772.6875
151,39.655523,680293.375
152,39.904532,674881.9375
153,40.170525,669537.375
154,40.431523,664258.875
155,40.687525,659044.5625
156,40.945521,653893.75
157,41.200525,648805.625
158,41.463523,643778.9375
159,41.714527,638812.4375
160,41.962523,633905.8125
161,42.228523,629057.125
162,42.494523,624265.625
163,42.746523,619531.0
164,43.000524,614852.375
165,43.281522,610228.0625
166,43.553525,605657.75
167,43.821526,601140.1875
168,44.074523,596674.6875
169,44.327523,592259.75
170,44.580522,587895.4375
171,44.827522,583580.4375
172,45.123523,579314.0625
173,45.394522,575096.3125
174,45.656525,570926.3125
175,45.919533,566802.375
176,46.170523,562724.5625
177,46.421524,558691.75
178,46.669522,554703.875
179,46.952528,550760.0
180,47.238558,546859.1875
181,47.506523,543001.125
182,47.770529,539185.3125
183,48.025523,535411.0625
184,48.276523,531677.625
185,48.560556,527984.25
186,48.820535,524329.8125
187,49.084523,520714.59375
188,49.336525,517137.6875
189,49.601526,513598.46875
190,49.859526,510096.9375
191,50.109525,506632.15625
192,50.357524,503203.46875
193,50.721523,499810.71875
194,50.995525,496453.34375
195,51.259532,493130.53125
196,51.527562,489842.34375
197,51.782526,486587.4375
198,52.038522,483365.59375
199,52.310522,480176.34375
200,52.569527,477019.34375
201,52.828522,473894.0
202,53.089529,470799.71875
203,53.350526,467736.59375
204,53.605524,464703.59375
205,53.856523,461700.75
206,54.106523,458727.71875
207,54.366523,455783.5
208,54.650532,452868.375
209,54.905526,449981.96875
210,55.179522,447123.8125
211,55.439522,444293.375
212,55.689523,441490.25
213,55.940522,438714.25
214,56.199521,435965.0
215,56.455524,433242.28125
216,56.708523,430545.40625
217,56.970523,427874.125
218,57.227522,425228.4375
219,57.476522,422607.4375
220,57.722524,420011.09375
221,58.019523,417439.09375
222,58.281557,414890.75
223,58.540524,412366.15625
224,58.801522,409864.84375
225,59.067524,407386.53125
226,59.332524,404931.09375
227,59.601522,402498.0
228,59.894526,400086.8125
229,60.149522,397697.5625
230,60.430524,395330.3125
231,60.700522,392984.375
232,60.963528,390659.8125
233,61.2227,388356.0
234,61.479523,386072.90625
235,61.744524,383810.4375
236,61.999522,381567.6875
237,62.246523,379344.75
238,62.512524,377141.53125
239,62.774522,374957.625
240,63.018525,372793.0
241,63.263524,370647.1875
242,63.556524,368520.1875
243,63.829524,366411.875
244,64.091523,364321.78125
245,64.350523,362249.8125
246,64.612524,360195.6875
247,64.864523,358159.125
248,65.133528,356139.84375
249,65.414523,354138.0
250,65.678524,352153.40625
251,65.936531,350185.53125
252,66.199522,348234.40625
253,66.457522,346299.9375
254,66.704524,344381.65625
255,66.953523,342479.34375
256,67.223527,340592.96875
257,67.485527,338722.1875
258,67.749524,336867.0625
259,68.026527,335027.375
260,68.288523,333202.9375
261,68.541524,331393.40625
262,68.795522,329598.625
263,69.070526,327818.78125
264,69.352522,326053.34375
265,69.621521,324302.3125
266,69.883527,322565.53125
267,70.135526,320842.90625
268,70.388523,319134.25
269,70.634524,317439.28125
270,70.893521,315757.8125
271,71.146522,314089.78125
272,71.403523,312435.15625
273,71.653524,310793.375
274,71.924524,309164.5625
275,72.188521,307548.59375
276,72.433524,305945.375
277,72.681522,304354.59375
278,72.948524,302776.4375
279,73.209523,301210.5625
280,73.463521,299656.78125
281,73.720523,298115.1875
282,73.980522,296585.53125
283,74.247525,295067.59375
284,74.498522,293561.1875
285,74.760522,292066.4375
286,75.038523,290583.125
287,75.293526,289111.09375
288,75.542522,287650.28125
289,75.804523,286200.5
290,76.063527,284761.84375
291,76.323554,283334.0625
292,76.573522,281916.90625
293,76.846522,280510.40625
294,77.111524,279114.28125
295,77.370527,277728.46875
296,77.623525,276352.90625
297,77.917523,274987.625
298,78.186523,273632.53125
299,78.447526,272287.1875
300,78.706527,270951.59375
301,78.967523,269626.0
302,79.219522,268310.03125
303,79.472522,267003.53125
304,79.747522,265706.40625
305,80.011523,264418.78125
306,80.269526,263140.59375
307,80.527524,261871.53125
308,80.785523,260611.578125
309,81.051523,259360.84375
310,81.341527,258118.96875
311,81.610555,256885.96875
312,81.872531,255661.84375
313,82.138527,254446.484375
314,82.413522,253239.703125
315,82.678523,252041.5
316,82.929524,250851.6875
317,83.203523,249670.375
318,83.491523,248497.296875
319,83.758525,247332.421875
320,84.016521,246175.765625
321,84.272523,245027.15625
322,84.527522,243886.53125
323,84.777524,242753.640625
324,85.046523,241628.578125
325,85.303527,240511.21875
326,85.554524,239401.65625
327,85.803522,238299.640625
328,86.067523,237205.1875
329,86.337558,236118.171875
330,86.596523,235038.640625
331,86.856524,233966.390625
332,87.130527,232901.453125
333,87.39156,231843.703125
334,87.664525,230793.109375
335,87.927523,229749.5
336,88.188522,228712.859375
337,88.442523,227683.1875
338,88.711523,226660.34375
339,88.975523,225644.15625
340,89.242522,224634.890625
341,89.501523,223632.328125
342,89.769523,222636.421875
343,90.024523,221647.015625
344,90.294523,220664.171875
345,90.570523,219687.796875
346,90.855522,218717.96875
347,91.124528,217754.515625
348,91.397522,216797.34375
349,91.663522,215846.28125
350,91.932523,214901.4375
351,92.204523,213962.6875
352,92.478524,213030.140625
353,92.746525,212103.59375
354,93.010523,211183.203125
355,93.269532,210268.6875
356,93.520559,209360.0625
357,93.773523,208457.34375
358,94.042521,207560.4375
359,94.314528,206669.1875
360,94.566523,205783.625
361,94.814558,204903.796875
362,95.085524,204029.53125
363,95.355522,203160.8125
364,95.616524,202297.5
365,95.873522,201439.609375
366,96.130521,200587.171875
367,96.386522,199740.015625
368,96.633522,198898.015625
369,96.899524,198061.265625
370,97.160523,197229.671875
371,97.429524,196403.3125
372,97.701523,195582.015625
373,97.981528,194765.859375
374,98.260525,193954.71875
375,98.537524,193148.484375
376,98.798523,192347.1875
377,99.052523,191550.828125
378,99.308558,190759.171875
379,99.573523,189972.46875
380,99.836522,189190.53125
381,100.088525,188413.265625
382,100.409561,187640.640625
383,100.685522,186872.71875
384,100.945558,186109.40625
385,101.207522,185350.625
386,101.460522,184596.375
387,101.710523,183846.734375
388,101.959523,183101.5625
389,102.221523,182360.84375
390,102.482527,181624.546875
391,102.734523,180892.53125
392,102.982523,180164.890625
393,103.248525,179441.4375
394,103.509524,178722.25
395,103.771523,178007.28125
396,104.027523,177296.5625
397,104.287521,176589.859375
398,104.555524,175887.34375
399,104.817522,175188.90625
400,105.079524,174494.484375
401,105.348527,173804.0625
402,105.611523,173117.640625
403,105.862529,172435.09375
404,106.134528,171756.5625
405,106.407523,171082.0
406,106.671523,170411.28125
407,106.935528,169744.359375
408,107.203524,169081.3125
409,107.465522,168422.03125
410,107.732522,167766.46875
411,108.019526,167114.671875
412,108.284556,166466.546875
413,108.551523,165822.109375
414,108.820525,165181.3125
415,109.092524,164544.03125
416,109.346527,163910.4375
417,109.632523,163280.3125
418,109.921561,162653.65625
419,110.189523,162030.5
420,110.462535,161410.859375
421,110.733525,160794.625
422,110.995523,160181.859375
423,111.269524,159572.484375
424,111.535522,158966.484375
425,111.791524,158363.84375
426,112.080524,157764.515625
427,112.364556,157168.453125
428,112.633524,156575.796875
429,112.890525,155986.328125
430,113.147522,155400.03125
431,113.398523,154817.03125
432,113.644522,154237.15625
433,113.907523,153660.46875
434,114.173523,153086.953125
435,114.430522,152516.515625
436,114.680556,151949.125
437,114.959522,151384.75
438,115.228522,150823.484375
439,115.485523,150265.265625
440,115.746523,149710.046875
441,116.00853,149157.8125
442,116.265534,148608.546875
443,116.523524,148062.265625
444,116.783524,147518.96875
445,117.041522,146978.546875
446,117.293527,146440.984375
447,117.538524,145906.28125
448,117.798523,145374.453125
449,118.056523,144845.421875
450,118.309524,144319.21875
451,118.556527,143795.828125
452,118.82756,143275.1875
453,119.106523,142757.34375
454,119.375525,142242.234375
455,119.651528,141729.8125
456,119.919521,141220.046875
457,120.169522,140712.96875
458,120.449528,140208.53125
459,120.711523,139706.65625
460,120.968523,139207.421875
461,121.21353,138710.765625
462,121.479523,138216.75
463,121.744524,137725.234375
464,121.999524,137236.234375
465,122.252524,136749.78125
466,122.529524,136265.796875
467,122.813526,135784.25
468,123.081522,135305.1875
469,123.342523,134828.625
470,123.602525,134354.5
471,123.851523,133882.734375
472,124.099522,133413.40625
473,124.370535,132946.4375
474,124.626523,132481.875
475,124.875523,132019.703125
476,125.122523,131559.8125
477,125.423527,131102.203125
478,125.702523,130646.90625
479,125.970523,130193.90625
480,126.229522,129743.1484375
481,126.485522,129294.6328125
482,126.736523,128848.3828125
483,127.018527,128404.359375
484,127.279523,127962.5390625
485,127.533523,127522.9296875
486,127.783523,127085.515625
487,128.060525,126650.234375
488,128.328522,126217.1328125
489,128.584527,125786.1484375
490,128.840524,125357.2421875
491,129.104524,124930.4609375
492,129.365525,124505.6875
493,129.619523,124083.0546875
494,129.888564,123662.4921875
495,130.149521,123243.984375
496,130.405523,122827.4375
497,130.663522,122412.953125
498,130.921523,122000.4609375
499,131.182522,121589.9609375
